tage;zeiten;stage;bandname;genre;spotify-link;gscore
Do;13:45-14:30;Mainstage;Sarcator;"Blackened Thrash Metal; Midnight vibes";https://open.spotify.com/search/Sarcator%20Ascend;40
Do;14:45-15:30;Mainstage;200 Stab Wounds;"Deathcore; Brutal Death; Vorband von HSB";https://open.spotify.com/track/4h5TPn29GHMLZIrnZL0XRS;30
Do;15:20-15:55;Tentstage;Morbus Dei;Südland Schwarzmetall Geballer Slawa Ukrajini;https://open.spotify.com/search/Morbus%20Dei%20The%20World%20Left%20Behind;60
Do;15:45-16:30;Mainstage;IOTUNN;Progressive Melodic Death Epic clear Gesang;https://open.spotify.com/track/50WwHosxkj26BfmWN2Db1X;80
Do;16:20-16:55;Tentstage;Rats of Gomorrah;Death ex-DICIDE Vader, BT Carcass vibes;https://open.spotify.com/search/Rats%20of%20Gomorrah%20Swarming%20Death;70
Do;16:45-17:30;Mainstage;Misery Index;Death  / Grindcore ex-DYING FETUS member;https://open.spotify.com/search/Misery%20Index%20The%20Carrion%20Call;50
Do;17:20-17:55;Tentstage;Messticator;Death / Thrash Metal One-Shot-Kill;https://open.spotify.com/search/Messticator%20The%20Tyrants%20Scepter;50
Do;17:45-18:30;Mainstage;Sadistic Intent;80er Death (?) Black geballer²;https://open.spotify.com/search/Sadistic%20Intent%20Ritual%20Sacrifice;70
Do;18:25-19:00;Tentstage;TodoMal;Atmospheric Doom Candlemass-Pink-Floyd;https://open.spotify.com/search/TodoMal%20Antichrist%20of%20Love;90
Do;18:50-19:35;Mainstage;Schirenc plays Pungent Stench;Death 90er Cannibal Corpse Geee-Bababababa-leleleler;https://open.spotify.com/search/Pungent%20Stench%20Viva%20la%20Muerte;30
Do;19:30-20:05;Tentstage;Begging for Incest;Slam / Brutal Death Metal;https://open.spotify.com/search/Begging%20for%20Incest%20Torment;20
Do;19:55-20:40;Mainstage;Desaster;Black / Thrash Metal;https://open.spotify.com/search/Desaster%20Satans%20Soldiers%20Syndicate;80
Do;20:35-21:10;Tentstage;Evoken;Funeral Doom / Death Metal;https://open.spotify.com/search/Evoken%20Antithesis%20of%20Light;50
